variable;monsterdiepte;compartiment;zone;parameter;eenheid;methode
slib_conductiviteit_uS_cm;0-25;SB;;conductiviteit;µ/S;
slib_pH;0-25;SB;;pH;;
slib_O2_mgL;0-25;SB;;O2;mg/l;
slib_redox_mgL;0-25;SB;;redox;mg/l;
holleoever;0-25;SB;;holleoever;;
watertemp_C;0-15;OW;;T;C;
water_conductiviteit_uS_cm;0-15;OW;;conductiviteit;µ/S;
water_redox;0-15;OW;;redox;;
water_pH;0-15;OW;;pH;;
water_O2_mgL;0-15;OW;;O2;mg/l;
doorzicht2_mid_cm;0-15;OW;;doorzicht;cm;
sectie_2;;;;;;
max_slib;;;;slibdikte;m;
max_wtd;;;;waterdiepte;m;
watbte;;;;waterbreedte;m;
drglg;;;;drooglegging;m;
tldk_wtrwtr_perc;;;;tldk_onderwater;%;berekend
tldk_oevrwtr_perc;;;;tldk_bovenwater;%;berekend
tldk_vastbodem_perc;;;;tldk_vastebodem;%;berekend
Start_traject_long;;;;Start_traject_long;;
Start_traject_lat;;;;Start_traject_lat;;
End_traject_long;;;;End_traject_long;;
End_traject_lat;;;;End_traject_lat;;
Complete.data;;;;;;
insteek_[0,10];;;;indringingsweerstand;mPa;penetrometer
insteek_(10,20];;;;indringingsweerstand;mPa;penetrometer
insteek_(20,30];;;;indringingsweerstand;mPa;penetrometer
insteek_(30,40];;;;indringingsweerstand;mPa;penetrometer
insteek_(40,50];;;;indringingsweerstand;mPa;penetrometer
insteek_(50,85];;;;indringingsweerstand;mPa;penetrometer
oever_[0,10];;;;indringingsweerstand;mPa;penetrometer
oever_(10,20];;;;indringingsweerstand;mPa;penetrometer
oever_(20,30];;;;indringingsweerstand;mPa;penetrometer
oever_(30,40];;;;indringingsweerstand;mPa;penetrometer
oever_(40,50];;;;indringingsweerstand;mPa;penetrometer
oever_(50,85];;;;indringingsweerstand;mPa;penetrometer
perceel_[0,10];;;;indringingsweerstand;mPa;penetrometer
perceel_(10,20];;;;indringingsweerstand;mPa;penetrometer
perceel_(20,30];;;;indringingsweerstand;mPa;penetrometer
perceel_(30,40];;;;indringingsweerstand;mPa;penetrometer
perceel_(40,50];;;;indringingsweerstand;mPa;penetrometer
perceel_(50,85];;;;indringingsweerstand;mPa;penetrometer
clusters;;;;clusters;;geodata
trofie;;;;trofie;;geodata
afwatopp;;;;afwatopp;;geodata
drlg;;;;drlg;;geodata
