variable;monsterdiepte;parameter;compartiment;zone;eenheid;methode;varnames
AL_CO_mmol+/kg_OR_25;0-25;AL;OR;;mmol+/kg;cohex;AL_CO_mmol+/kg_OR_25
AL_CO_mmol+/kg_OR_50;25-50;AL;OR;;mmol+/kg;cohex;AL_CO_mmol+/kg_OR_50
A_AL_CO_OR_25;0-25;Aluminium (exch);OR;;mmol +/ kg;liab;Aluminium (exch)_25
A_AL_CO_OR_50;25-50;Aluminium (exch);OR;;mmol +/ kg;liab;Aluminium (exch)_25
A_AL_M3_OR_25;0-25;Aluminium (M3);OR;;mg/kg;liab;Aluminium (M3)_25
A_AL_M3_OR_50;25-50;Aluminium (M3);OR;;mg/kg;liab;Aluminium (M3)_25
A_AL_RT_OR_25;0-25;Aluminium total;OR;;g/kg;liab;Aluminium total_25
A_AL_RT_OR_50;25-50;Aluminium total;OR;;g/kg;liab;Aluminium total_25
A_AS_RT_OR_25;0-25;Arsenic total;OR;;mg/kg;liab;Arsenic total_25
A_AS_RT_OR_50;25-50;Arsenic total;OR;;mg/kg;liab;Arsenic total_25
A_BR_RT_OR_25;0-25;Boron total;OR;;mg/kg;liab;Boron total_25
A_BR_RT_OR_50;25-50;Boron total;OR;;mg/kg;liab;Boron total_25
A_B_CO_OR_25;0-25;Boron (Exch);OR;;mmol- / kg;liab;Boron (Exch)_25
A_B_CO_OR_50;25-50;Boron (Exch);OR;;mmol- / kg;liab;Boron (Exch)_25
A_B_M3_OR_25;0-25;Boron (M3);OR;;mg/kg;liab;Boron (M3)_25
A_B_M3_OR_50;25-50;Boron (M3);OR;;mg/kg;liab;Boron (M3)_25
A_CA_CO_OR_25;0-25;Calcium (Exch);OR;;mmol +/ kg;liab;Calcium (Exch)_25
A_CA_CO_OR_50;25-50;Calcium (Exch);OR;;mmol +/ kg;liab;Calcium (Exch)_25
A_CA_M3_OR_25;0-25;Calcium (M3);OR;;mg/kg;liab;Calcium (M3)_25
A_CA_M3_OR_50;25-50;Calcium (M3);OR;;mg/kg;liab;Calcium (M3)_25
A_CA_RT_OR_25;0-25;Calcium total;OR;;g/kg;liab;Calcium total_25
A_CA_RT_OR_50;25-50;Calcium total;OR;;g/kg;liab;Calcium total_25
A_CEC_CO_OR_25;0-25;Cation Exhange Capacity;OR;;mmol+ / kg;liab;Cation Exhange Capacity_25
A_CEC_CO_OR_50;25-50;Cation Exhange Capacity;OR;;mmol+ / kg;liab;Cation Exhange Capacity_25
A_CLAY_MI;;A_CLAY_MI;;;%;bodemschat;A_CLAY_MI
A_CN_OF_OR_25;0-25;ratio C / N;OR;;;liab;ratio C / N_25
A_CN_OF_OR_50;25-50;ratio C / N;OR;;;liab;ratio C / N_25
A_CO_M3_OR_25;0-25;Cobalt (M3);OR;;mg/kg;liab;Cobalt (M3)_25
A_CO_M3_OR_50;25-50;Cobalt (M3);OR;;mg/kg;liab;Cobalt (M3)_25
A_CO_RT_OR_25;0-25;Cobalt;OR;;mg/kg;liab;Cobalt_25
A_CO_RT_OR_50;25-50;Cobalt;OR;;mg/kg;liab;Cobalt_25
A_CR_RT_OR_25;0-25;Chromium Total;OR;;mg/kg;liab;Chromium Total_25
A_CR_RT_OR_50;25-50;Chromium Total;OR;;mg/kg;liab;Chromium Total_25
A_CU_M3_OR_25;0-25;Copper (M3);OR;;mg/kg;liab;Copper (M3)_25
A_CU_M3_OR_50;25-50;Copper (M3);OR;;mg/kg;liab;Copper (M3)_25
A_CU_RT_OR_25;0-25;Copper Total;OR;;mg/kg;liab;Copper Total_25
A_CU_RT_OR_50;25-50;Copper Total;OR;;mg/kg;liab;Copper Total_25
A_C_OF_OR_25;0-25;Carbon organic;OR;;g/kg;liab;Carbon organic_25
A_C_OF_OR_50;25-50;Carbon organic;OR;;g/kg;liab;Carbon organic_25
A_C_RT_OR_25;0-25;Carbon total  g / kg;OR;;g/kg;liab;Carbon total  g / kg_25
A_C_RT_OR_50;25-50;Carbon total  g / kg;OR;;g/kg;liab;Carbon total  g / kg_25
A_DENSITY_SA_OR_25;0-25;Density;OR;;g / cm ^ 3;liab;Density_25
A_DENSITY_SA_OR_50;25-50;Density;OR;;g / cm ^ 3;liab;Density_25
A_EC_WA_OR_25;0-25;Electrical  conductivity;OR;;mS/m;liab;Electrical  conductivity_25
A_EC_WA_OR_50;25-50;Electrical  conductivity;OR;;mS/m;liab;Electrical  conductivity_25
A_FE_CO_OR_25;0-25;Iron (Exch) + mmol / kg;OR;;mmol +/kg;liab;Iron (Exch) + mmol / kg_25
A_FE_CO_OR_50;25-50;Iron (Exch) + mmol / kg;OR;;mmol +/kg;liab;Iron (Exch) + mmol / kg_25
A_FE_M3_OR_25;0-25;Iron (M3);OR;;mg/kg;liab;Iron (M3)_25
A_FE_M3_OR_50;25-50;Iron (M3);OR;;mg/kg;liab;Iron (M3)_25
A_FE_RT_OR_25;0-25;Iron total;OR;;g/kg;liab;Iron total_25
A_FE_RT_OR_50;25-50;Iron total;OR;;g/kg;liab;Iron total_25
A_K_CO_OR_25;0-25;Potassium (Exch);OR;;mmol +/kg;liab;Potassium (Exch)_25
A_K_CO_OR_50;25-50;Potassium (Exch);OR;;mmol +/kg;liab;Potassium (Exch)_25
A_K_M3_OR_25;0-25;Potassium (M3);OR;;mg/kg;liab;Potassium (M3)_25
A_K_M3_OR_50;25-50;Potassium (M3);OR;;mg/kg;liab;Potassium (M3)_25
A_K_RT_OR_25;0-25;Potassium total;OR;;g/kg;liab;Potassium total_25
A_K_RT_OR_50;25-50;Potassium total;OR;;g/kg;liab;Potassium total_25
A_MG_CO_OR_25;0-25;Magnesium (Exch);OR;;mmol+/kg;liab;Magnesium (Exch)_25
A_MG_CO_OR_50;25-50;Magnesium (Exch);OR;;mmol+/kg;liab;Magnesium (Exch)_25
A_MG_M3_OR_25;0-25;Magnesium (M3);OR;;mg/kg;liab;Magnesium (M3)_25
A_MG_M3_OR_50;25-50;Magnesium (M3);OR;;mg/kg;liab;Magnesium (M3)_25
A_MG_RT_OR_25;0-25;Magnesium Total;OR;;g/kg;liab;Magnesium Total_25
A_MG_RT_OR_50;25-50;Magnesium Total;OR;;g/kg;liab;Magnesium Total_25
A_MN_CO_OR_25;0-25;Manganese (Exch);OR;;mmol+/kg;liab;Manganese (Exch)_25
A_MN_CO_OR_50;25-50;Manganese (Exch);OR;;mmol+/kg;liab;Manganese (Exch)_25
A_MN_M3_OR_25;0-25;Manganese (M3);OR;;mg/kg;liab;Manganese (M3)_25
A_MN_M3_OR_50;25-50;Manganese (M3);OR;;mg/kg;liab;Manganese (M3)_25
A_MN_RT_OR_25;0-25;Manganese total;OR;;mg/kg;liab;Manganese total_25
A_MN_RT_OR_50;25-50;Manganese total;OR;;mg/kg;liab;Manganese total_25
A_MO_CO_OR_25;0-25;Molybdenium (Exch);OR;;mmol+/kg;liab;Molybdenium (Exch)_25
A_MO_CO_OR_50;25-50;Molybdenium (Exch);OR;;mmol+/kg;liab;Molybdenium (Exch)_25
A_MO_M3_OR_25;0-25;Molybdenium (M3);OR;;mg/kg;liab;Molybdenium (M3)_25
A_MO_M3_OR_50;25-50;Molybdenium (M3);OR;;mg/kg;liab;Molybdenium (M3)_25
A_NA_CO_OR_25;0-25;Sodium (Exch);OR;;mmol+/kg;liab;Sodium (Exch)_25
A_NA_CO_OR_50;25-50;Sodium (Exch);OR;;mmol+/kg;liab;Sodium (Exch)_25
